MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/1/2023 19:17:35,1.17.0,20,80,4.11,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
6/1/2023 19:17:49,1.17.0,20,80,4.11,nan,30,Left,Right,2,0,0,0,nan,nan,0.00
6/1/2023 19:18:35,1.17.0,20,80,4.11,nan,30,Left,Right,3,0,0,0,nan,nan,0.00
6/1/2023 19:19:30,1.17.0,20,80,4.11,nan,30,Right,Left,3,1,0,0,nan,nan,0.00
6/1/2023 19:19:42,1.17.0,20,80,4.11,2,30,Pellet,Left,3,1,1,0,7.58,nan,nan
6/1/2023 19:20:26,1.17.0,20,80,4.11,nan,30,Right,Left,3,2,1,1,nan,nan,0.00
6/1/2023 19:20:30,1.17.0,20,80,4.11,1,30,Pellet,Left,3,2,2,1,1.15,48,nan
6/1/2023 19:21:19,1.17.0,20,80,4.11,nan,30,Right,Left,3,3,2,2,nan,nan,0.00
6/1/2023 19:21:24,1.17.0,20,80,4.11,1,30,Pellet,Left,3,3,3,2,2.01,54,nan
6/1/2023 19:22:24,1.17.0,20,80,4.11,nan,30,Right,Left,3,4,3,3,nan,nan,0.00
6/1/2023 19:22:29,1.17.0,20,80,4.11,1,30,Pellet,Left,3,4,4,3,1.77,65,nan
6/1/2023 19:24:04,1.17.0,20,80,4.11,nan,30,Right,Left,3,5,4,4,nan,nan,0.00
6/1/2023 19:24:12,1.17.0,20,80,4.11,nan,30,RightinTimeout,Left,3,5,4,4,nan,nan,0.07
6/1/2023 19:25:14,1.17.0,20,80,4.11,nan,30,Right,Left,3,6,4,4,nan,nan,0.00
6/1/2023 19:25:22,1.17.0,20,80,4.11,1,30,Pellet,Left,3,6,5,4,4.46,172,nan
6/1/2023 19:25:58,1.17.0,20,80,4.11,nan,30,Right,Left,3,7,5,5,nan,nan,0.00
6/1/2023 19:26:02,1.17.0,20,80,4.11,1,30,Pellet,Left,3,7,6,5,1.83,41,nan
6/1/2023 19:26:22,1.17.0,20,80,4.11,nan,30,Right,Left,3,8,6,6,nan,nan,0.00
6/1/2023 19:26:27,1.17.0,20,80,4.11,1,30,Pellet,Left,3,8,7,6,1.83,25,nan
6/1/2023 19:26:52,1.17.0,20,80,4.11,nan,30,Left,Right,4,8,7,7,nan,nan,0.00
6/1/2023 19:27:38,1.17.0,20,80,4.11,nan,30,Right,Left,4,9,7,7,nan,nan,0.00
6/1/2023 19:28:16,1.17.0,20,80,4.11,1,30,Pellet,Left,4,9,8,7,34.75,109,nan
6/1/2023 19:28:59,1.17.0,20,80,4.11,nan,30,Left,Right,5,9,8,8,nan,nan,0.00
6/1/2023 19:29:04,1.17.0,20,80,4.11,nan,30,RightinTimeout,Right,5,9,8,8,nan,nan,0.07
6/1/2023 19:29:14,1.17.0,20,80,4.11,nan,30,LeftinTimeOut,Right,5,9,8,8,nan,nan,nan
6/1/2023 19:29:20,1.17.0,20,80,4.11,nan,30,RightinTimeout,Right,5,9,8,8,nan,nan,0.02
6/1/2023 19:29:38,1.17.0,20,80,4.11,nan,30,Right,Left,5,10,8,8,nan,nan,0.00
6/1/2023 19:29:43,1.17.0,20,80,4.11,1,30,Pellet,Left,5,10,9,8,2.07,87,nan
6/1/2023 19:30:19,1.17.0,20,80,4.11,nan,30,Right,Left,5,11,9,9,nan,nan,0.00
6/1/2023 19:30:22,1.17.0,20,80,4.11,1,30,Pellet,Left,5,11,10,9,0.67,39,nan
6/1/2023 19:30:44,1.17.0,20,80,4.11,nan,30,Right,Left,5,12,10,10,nan,nan,0.00
6/1/2023 19:31:00,1.17.0,20,80,4.11,1,30,Pellet,Left,5,12,11,10,12.25,38,nan
6/1/2023 19:31:22,1.17.0,20,80,4.11,nan,30,Right,Left,5,13,11,11,nan,nan,0.00
6/1/2023 19:31:30,1.17.0,20,80,4.11,nan,30,RightinTimeout,Left,5,13,11,11,nan,nan,0.10
6/1/2023 19:31:36,1.17.0,20,80,4.11,nan,30,RightinTimeout,Left,5,13,11,11,nan,nan,0.09
6/1/2023 19:31:47,1.17.0,20,80,4.11,nan,30,Left,Right,6,13,11,11,nan,nan,0.00
6/1/2023 19:32:02,1.17.0,20,80,4.11,nan,30,Left,Right,7,13,11,11,nan,nan,0.00
6/1/2023 19:32:25,1.17.0,20,80,4.11,nan,30,Right,Left,7,14,11,11,nan,nan,0.00
6/1/2023 19:32:41,1.17.0,20,80,4.11,nan,30,Right,Left,7,15,11,11,nan,nan,0.00
6/1/2023 19:33:04,1.17.0,20,80,4.11,nan,30,Right,Left,7,16,11,11,nan,nan,0.00
6/1/2023 19:33:11,1.17.0,20,80,4.10,1,30,Pellet,Left,7,16,12,11,3.97,131,nan
6/1/2023 19:33:35,1.17.0,20,80,4.11,nan,30,Right,Left,7,17,12,12,nan,nan,0.00
6/1/2023 19:33:40,1.17.0,20,80,4.11,2,30,Pellet,Left,7,17,13,12,0.48,29,nan
